title,year,runtime,genres,rating,metascore,votes,gross,genres_list,main_genre
Batman Begins,2005.0,140,"Action, Adventure",8.2,70.0,1308302,206852432.0,"['Action', 'Adventure']",Action
"Swades: We, the People",2004.0,210,Drama,8.2,79.0,83005,1223240.0,['Drama'],Drama
Der Untergang,2004.0,156,"Biography, Drama, History",8.2,82.0,331308,5509040.0,"['Biography', 'Drama', 'History']",Biography
Hauru no ugoku shiro,2004.0,119,"Animation, Adventure, Family",8.2,80.0,333915,4711096.0,"['Animation', 'Adventure', 'Family']",Animation
A Beautiful Mind,2001.0,135,"Biography, Drama",8.2,72.0,848920,170742341.0,"['Biography', 'Drama']",Biography
Hera Pheri,2000.0,156,"Action, Comedy, Crime",8.2,79.0,57057,23530892.0,"['Action', 'Comedy', 'Crime']",Action
"Lock, Stock and Two Smoking Barrels",1998.0,107,"Action, Comedy, Crime",8.2,66.0,535216,3897569.0,"['Action', 'Comedy', 'Crime']",Action
L.A. Confidential,1997.0,138,"Crime, Drama, Mystery",8.2,90.0,531967,64616940.0,"['Crime', 'Drama', 'Mystery']",Crime
Eskiya,1996.0,128,"Crime, Drama, Thriller",8.2,79.0,64118,23530892.0,"['Crime', 'Drama', 'Thriller']",Crime
Heat,1995.0,170,"Crime, Drama, Thriller",8.2,76.0,577113,67436818.0,"['Crime', 'Drama', 'Thriller']",Crime
Casino,1995.0,178,"Crime, Drama",8.2,73.0,466276,42438300.0,"['Crime', 'Drama']",Crime
Andaz Apna Apna,1994.0,160,"Action, Comedy, Romance",8.2,79.0,49300,23530892.0,"['Action', 'Comedy', 'Romance']",Action
Unforgiven,1992.0,130,"Drama, Western",8.2,85.0,375935,101157447.0,"['Drama', 'Western']",Drama
Indiana Jones and the Last Crusade,1989.0,127,"Action, Adventure",8.2,65.0,692366,197171806.0,"['Action', 'Adventure']",Action
Dom za vesanje,1988.0,142,"Comedy, Crime, Drama",8.2,79.0,26402,280015.0,"['Comedy', 'Crime', 'Drama']",Comedy
Tonari no Totoro,1988.0,86,"Animation, Family, Fantasy",8.2,86.0,291180,1105564.0,"['Animation', 'Family', 'Fantasy']",Animation
Die Hard,1988.0,132,"Action, Thriller",8.2,72.0,793164,83008852.0,"['Action', 'Thriller']",Action
Ran,1985.0,162,"Action, Drama, War",8.2,96.0,112505,4135750.0,"['Action', 'Drama', 'War']",Action
Raging Bull,1980.0,129,"Biography, Drama, Sport",8.2,89.0,321860,23383987.0,"['Biography', 'Drama', 'Sport']",Biography
Stalker,1979.0,162,"Drama, Sci-Fi",8.2,79.0,116945,234723.0,"['Drama', 'Sci-Fi']",Drama
Höstsonaten,1978.0,99,"Drama, Music",8.2,79.0,26875,23530892.0,"['Drama', 'Music']",Drama
The Message,1976.0,177,"Biography, Drama, History",8.2,79.0,43885,23530892.0,"['Biography', 'Drama', 'History']",Biography
Sholay,1975.0,204,"Action, Adventure, Comedy",8.2,79.0,51284,23530892.0,"['Action', 'Adventure', 'Comedy']",Action
Monty Python and the Holy Grail,1975.0,91,"Adventure, Comedy, Fantasy",8.2,91.0,500875,1229197.0,"['Adventure', 'Comedy', 'Fantasy']",Adventure
The Great Escape,1963.0,172,"Adventure, Drama, History",8.2,86.0,224730,12100000.0,"['Adventure', 'Drama', 'History']",Adventure
To Kill a Mockingbird,1962.0,129,"Crime, Drama",8.2,88.0,293811,23530892.0,"['Crime', 'Drama']",Crime
Yôjinbô,1961.0,110,"Action, Drama, Thriller",8.2,79.0,111244,23530892.0,"['Action', 'Drama', 'Thriller']",Action
Judgment at Nuremberg,1961.0,179,"Drama, War",8.2,60.0,69458,23530892.0,"['Drama', 'War']",Drama
Some Like It Hot,1959.0,121,"Comedy, Music, Romance",8.2,98.0,243943,25000000.0,"['Comedy', 'Music', 'Romance']",Comedy
Smultronstället,1957.0,91,"Drama, Romance",8.2,88.0,96381,23530892.0,"['Drama', 'Romance']",Drama
Det sjunde inseglet,1957.0,96,"Drama, Fantasy, History",8.2,88.0,164939,23530892.0,"['Drama', 'Fantasy', 'History']",Drama
Du rififi chez les hommes,1955.0,118,"Crime, Drama, Thriller",8.2,97.0,28810,57226.0,"['Crime', 'Drama', 'Thriller']",Crime
Dial M for Murder,1954.0,105,"Crime, Thriller",8.2,75.0,158335,12562.0,"['Crime', 'Thriller']",Crime
Tôkyô monogatari,1953.0,136,Drama,8.2,79.0,53153,23530892.0,['Drama'],Drama
Rashômon,1950.0,88,"Crime, Drama, Mystery",8.2,98.0,152572,96568.0,"['Crime', 'Drama', 'Mystery']",Crime
All About Eve,1950.0,138,Drama,8.2,98.0,120539,10177.0,['Drama'],Drama
The Treasure of the Sierra Madre,1948.0,126,"Adventure, Drama, Western",8.2,98.0,114304,5014000.0,"['Adventure', 'Drama', 'Western']",Adventure
To Be or Not to Be,1942.0,99,"Comedy, War",8.2,86.0,29915,23530892.0,"['Comedy', 'War']",Comedy
The Gold Rush,1925.0,95,"Adventure, Comedy, Drama",8.2,79.0,101053,5450000.0,"['Adventure', 'Comedy', 'Drama']",Adventure
Sherlock Jr.,1924.0,45,"Action, Comedy, Romance",8.2,79.0,41985,977375.0,"['Action', 'Comedy', 'Romance']",Action
Portrait de la jeune fille en feu,2019.0,122,"Drama, Romance",8.1,95.0,63134,3759854.0,"['Drama', 'Romance']",Drama
Pink,2016.0,136,"Drama, Thriller",8.1,79.0,39216,1241223.0,"['Drama', 'Thriller']",Drama
Koe no katachi,2016.0,130,"Animation, Drama, Family",8.1,78.0,47708,23530892.0,"['Animation', 'Drama', 'Family']",Animation
Contratiempo,2016.0,106,"Crime, Drama, Mystery",8.1,79.0,141516,23530892.0,"['Crime', 'Drama', 'Mystery']",Crime
Ah-ga-ssi,2016.0,145,"Drama, Romance, Thriller",8.1,84.0,113649,2006788.0,"['Drama', 'Romance', 'Thriller']",Drama
Mommy,2014.0,139,Drama,8.1,74.0,50700,3492754.0,['Drama'],Drama
Haider,2014.0,160,"Action, Crime, Drama",8.1,79.0,50445,901610.0,"['Action', 'Crime', 'Drama']",Action
Logan,2017.0,137,"Action, Drama, Sci-Fi",8.1,77.0,647884,226277068.0,"['Action', 'Drama', 'Sci-Fi']",Action
Room,2015.0,118,"Drama, Thriller",8.1,86.0,371538,14677674.0,"['Drama', 'Thriller']",Drama
Relatos salvajes,2014.0,122,"Comedy, Drama, Thriller",8.1,77.0,177059,3107072.0,"['Comedy', 'Drama', 'Thriller']",Comedy
Soul,2020.0,100,"Animation, Adventure, Comedy",8.1,83.0,159171,23530892.0,"['Animation', 'Adventure', 'Comedy']",Animation
Kis Uykusu,2014.0,196,Drama,8.1,88.0,46547,165520.0,['Drama'],Drama
PK,2014.0,153,"Comedy, Drama, Musical",8.1,79.0,163061,10616104.0,"['Comedy', 'Drama', 'Musical']",Comedy
OMG: Oh My God!,2012.0,125,"Comedy, Drama, Fantasy",8.1,79.0,51739,923221.0,"['Comedy', 'Drama', 'Fantasy']",Comedy
The Grand Budapest Hotel,2014.0,99,"Adventure, Comedy, Crime",8.1,88.0,707630,59100318.0,"['Adventure', 'Comedy', 'Crime']",Adventure
Gone Girl,2014.0,149,"Drama, Mystery, Thriller",8.1,79.0,859695,167767189.0,"['Drama', 'Mystery', 'Thriller']",Drama
Ôkami kodomo no Ame to Yuki,2012.0,117,"Animation, Drama, Fantasy",8.1,71.0,38803,23530892.0,"['Animation', 'Drama', 'Fantasy']",Animation
Hacksaw Ridge,2016.0,139,"Biography, Drama, History",8.1,71.0,435928,67209615.0,"['Biography', 'Drama', 'History']",Biography
